James Cameron,178,760505847,Avatar,http://www.imdb.com/title/tt0499549,English,USA,237000000,2009,7.9
Gore Verbinski,169,309404152,Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088,English,USA,300000000,2007,7.1
Sam Mendes,148,200074175,Spectre,http://www.imdb.com/title/tt2379713,English,UK,245000000,2015,6.8
Christopher Nolan,164,448130642,The Dark Knight Rises,http://www.imdb.com/title/tt1345836,English,USA,250000000,2012,8.5
Doug Walker,,,Star Wars: Episode VII - The Force Awakens            ,http://www.imdb.com/title/tt5289954,,,,,7.1
Andrew Stanton,132,73058679,John Carter,http://www.imdb.com/title/tt0401729,English,USA,263700000,2012,6.6
Sam Raimi,156,336530303,Spider-Man 3,http://www.imdb.com/title/tt0413300,English,USA,258000000,2007,6.2
Nathan Greno,100,200807262,Tangled,http://www.imdb.com/title/tt0398286,English,USA,260000000,2010,7.8
Joss Whedon,141,458991599,Avengers: Age of Ultron,http://www.imdb.com/title/tt2395427,English,USA,250000000,2015,7.5
David Yates,153,301956980,Harry Potter and the Half-Blood Prince,http://www.imdb.com/title/tt0417741,English,UK,250000000,2009,7.5
Zack Snyder,183,330249062,Batman v Superman: Dawn of Justice,http://www.imdb.com/title/tt2975590,English,USA,250000000,2016,6.9
Bryan Singer,169,200069408,Superman Returns,http://www.imdb.com/title/tt0348150,English,USA,209000000,2006,6.1
Marc Forster,106,168368427,Quantum of Solace,http://www.imdb.com/title/tt0830515,English,UK,200000000,2008,6.7
Gore Verbinski,151,423032628,Pirates of the Caribbean: Dead Man's Chest,http://www.imdb.com/title/tt0383574,English,USA,225000000,2006,7.3
Gore Verbinski,150,89289910,The Lone Ranger,http://www.imdb.com/title/tt1210819,English,USA,215000000,2013,6.5
Zack Snyder,143,291021565,Man of Steel,http://www.imdb.com/title/tt0770828,English,USA,225000000,2013,7.2
Andrew Adamson,150,141614023,The Chronicles of Narnia: Prince Caspian,http://www.imdb.com/title/tt0499448,English,USA,225000000,2008,6.6
Joss Whedon,173,623279547,The Avengers,http://www.imdb.com/title/tt0848228,English,USA,220000000,2012,8.1
Rob Marshall,136,241063875,Pirates of the Caribbean: On Stranger Tides,http://www.imdb.com/title/tt1298650,English,USA,250000000,2011,6.7
Barry Sonnenfeld,106,179020854,Men in Black 3,http://www.imdb.com/title/tt1409024,English,USA,225000000,2012,6.8
Peter Jackson,164,255108370,The Hobbit: The Battle of the Five Armies,http://www.imdb.com/title/tt2310332,English,New Zealand,250000000,2014,7.5
Marc Webb,153,262030663,The Amazing Spider-Man,http://www.imdb.com/title/tt0948470,English,USA,230000000,2012,7
Ridley Scott,156,105219735,Robin Hood,http://www.imdb.com/title/tt0955308,English,USA,200000000,2010,6.7
Peter Jackson,186,258355354,The Hobbit: The Desolation of Smaug,http://www.imdb.com/title/tt1170358,English,USA,225000000,2013,7.9
Chris Weitz,113,70083519,The Golden Compass,http://www.imdb.com/title/tt0385752,English,USA,180000000,2007,6.1
Peter Jackson,201,218051260,King Kong,http://www.imdb.com/title/tt0360717,English,New Zealand,207000000,2005,7.2
James Cameron,194,658672302,Titanic,http://www.imdb.com/title/tt0120338,English,USA,200000000,1997,7.7
Anthony Russo,147,407197282,Captain America: Civil War,http://www.imdb.com/title/tt3498820,English,USA,250000000,2016,8.2
Peter Berg,131,65173160,Battleship,http://www.imdb.com/title/tt1440129,English,USA,209000000,2012,5.9
Colin Trevorrow,124,652177271,Jurassic World,http://www.imdb.com/title/tt0369610,English,USA,150000000,2015,7
Sam Mendes,143,304360277,Skyfall,http://www.imdb.com/title/tt1074638,English,UK,200000000,2012,7.8
Sam Raimi,135,373377893,Spider-Man 2,http://www.imdb.com/title/tt0316654,English,USA,200000000,2004,7.3
Shane Black,195,408992272,Iron Man 3,http://www.imdb.com/title/tt1300854,English,USA,200000000,2013,7.2
Tim Burton,108,334185206,Alice in Wonderland,http://www.imdb.com/title/tt1014759,English,USA,200000000,2010,6.5
Brett Ratner,104,234360014,X-Men: The Last Stand,http://www.imdb.com/title/tt0376994,English,Canada,210000000,2006,6.8
Dan Scanlon,104,268488329,Monsters University,http://www.imdb.com/title/tt1453405,English,USA,200000000,2013,7.3
Michael Bay,150,402076689,Transformers: Revenge of the Fallen,http://www.imdb.com/title/tt1055369,English,USA,200000000,2009,6
Michael Bay,165,245428137,Transformers: Age of Extinction,http://www.imdb.com/title/tt2109248,English,USA,210000000,2014,5.7
Sam Raimi,130,234903076,Oz the Great and Powerful,http://www.imdb.com/title/tt1623205,English,USA,215000000,2013,6.4
Marc Webb,142,202853933,The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181,English,USA,200000000,2014,6.7
Joseph Kosinski,125,172051787,TRON: Legacy,http://www.imdb.com/title/tt1104001,English,USA,170000000,2010,6.8
